file,z1,l_hp,l_cost,n_measured,n_bailed
2025-09-03_2p__Sablestone_Delta_Turn_10_(191580).json.gz,1.0,-4.796890317267432,-12.059493024054277,35,3
2025-08-22_2p__Ruphus_Isle_Turn_27_(181530).json.gz,1.0,28.108271985105958,42.77185557257966,153,48
2024-06-12_2p__Cynsaun_Battlefield_Turn_20_(45592).json.gz,1.0,-15.319065000000016,-66.249412,167,27
2024-05-30_2p_mini_edited_Turn_7_(36129).json.gz,1.0,16.27228000000001,15.860320000000002,16,4
2024-07-18_2p_mini_edited_Turn_21_(13146).json.gz,1.0,-4.447799999999965,39.086200000000005,53,21
2024-06-11_2p__Hamlets_Turn_13_(44963).json.gz,1.0,-1.9635750893373278,35.36281225698191,49,9
2025-04-25_2p__Howling_Ghost_Badlands_Turn_11_(88011).json.gz,-1.0,-18.401747999999998,-1.0956960000000038,59,3
2026-02-25_2p__Weldyn_Channel_Turn_9_(97053).json.gz,-1.0,-35.25892799999999,-47.880292,36,3
2026-04-10_2p__The_Freelands_Turn_17_(22055).json.gz,1.0,3.083120000000008,-5.871440000000003,39,0
2026-04-24_2p__Elensefar_Courtyard_Turn_32_(32836).json.gz,-1.0,91.68536591999987,-34.94379535999999,164,28
2025-02-26_2p__Caves_of_the_Basilisk_Turn_8_(42088).json.gz,1.0,-9.6138,-4.172799999999997,16,5
2026-04-16_2p__Hamlets_Turn_14_(26869).json.gz,1.0,-58.99830199999999,-59.119359999999986,46,6
2025-09-06_2p__Cynsaun_Battlefield_Turn_27_(194123).json.gz,1.0,51.151245199999984,35.68029919999996,185,48
2024-05-10_2p__Caves_of_the_Basilisk_Turn_14_(23777).json.gz,1.0,-43.048308000000006,-15.084296000000009,58,11
2024-09-10_2p__Aethermaw_Turn_8_(24642).json.gz,1.0,7.177705600000014,-31.926614400000002,39,3
2025-01-01_2p__Howling_Ghost_Badlands_Turn_15_(15085).json.gz,-1.0,-14.895825599999991,-35.961155999999995,63,1
2026-04-06_2p__Caves_of_the_Basilisk_Turn_15_(19135).json.gz,-1.0,-38.118343999999986,-60.505792,76,8
2024-07-31_2p_mini_edited_Turn_6_(21979).json.gz,-1.0,52.04463876250733,-27.92480604212732,18,1
2024-04-12_2p_mini_edited_Turn_10_(5417).json.gz,-1.0,9.492259878116027,-39.87954659841279,27,2
2024-10-01_2p__Hamlets_Turn_20_(41093).json.gz,-1.0,79.01907999999997,28.323439999999998,96,17
2025-06-08_2p__Weldyn_Channel_Turn_20_(122709).json.gz,1.0,27.186816000000047,17.96402400000003,82,26
2024-07-20_2p_-_Micro_Isar_Turn_7_(14278).json.gz,1.0,51.105999999999995,2.0079999999999965,31,2
2024-04-14_2p_mini_edited_Turn_5_(6956).json.gz,-1.0,6.806049999999999,-10.233600000000003,16,3
2025-02-07_2p__Caves_of_the_Basilisk_Turn_10_(25968).json.gz,1.0,60.12285,29.0767,50,1
2024-06-02_2p_-_Micro_Isar_Turn_7_(38425).json.gz,1.0,15.053700000000008,-43.195499999999996,22,2
2024-12-26_2p__Fallenstar_Lake_Turn_20_(9923).json.gz,-1.0,112.99389999999998,99.43101999999999,122,14
2025-06-17_2p__Hamlets_Turn_11_(130092).json.gz,-1.0,-27.08892031674484,-34.44930006168256,41,2
2025-03-28_2p__Weldyn_Channel_Turn_19_(66546).json.gz,-1.0,-62.36633000000003,-23.984199999999998,101,22
2024-10-29_2p__Hamlets_Turn_12_(13111).json.gz,-1.0,14.799759999999992,17.164279999999998,41,1
2024-09-16_2p__Weldyn_Channel_Turn_20_(29987).json.gz,-1.0,-44.04720000000002,-33.45770000000001,83,32
2024-11-23_2p_-_Micro_Isar_Turn_7_(17797).json.gz,-1.0,-19.478800000000014,-30.266900000000007,20,5
2025-09-06_2p__The_Walls_of_Pyrennis_Turn_14_(193887).json.gz,-1.0,-79.7076,-39.557559999999995,65,4
2024-11-03_2p__Caves_of_the_Basilisk_Turn_14_(2790).json.gz,-1.0,-13.456348399999959,-10.052064799999993,67,5
2024-09-23_2p__Sablestone_Delta_Turn_12_(34960).json.gz,-1.0,-3.1189,22.137099999999993,49,4
2026-06-05_2p__Ruphus_Isle_Turn_11_(16326).json.gz,-1.0,-24.4058,-13.535399999999992,32,3
2025-05-28_2p__Tombs_of_Kesorak_Turn_21_(113893).json.gz,1.0,97.22769040000006,12.691748,92,22
2024-04-16_2p_mini_edited_Turn_8_(7804).json.gz,1.0,4.2681000000000004,14.73,21,2
2024-04-16_2p__Caves_of_the_Basilisk_Turn_13_(7630).json.gz,-1.0,-9.566183999999977,-54.299307999999996,66,18
2025-01-16_2p__Caves_of_the_Basilisk_Turn_16_(5248).json.gz,-1.0,-16.707896000000034,25.37414399999999,89,10
2026-01-07_2p__Hamlets_Turn_9_(51370).json.gz,1.0,-4.026000000000006,-17.133500000000012,24,0
2025-05-09_2p__Hamlets_Turn_9_(99542).json.gz,-1.0,-18.361199999999997,-22.003999999999998,22,0
2025-06-13_2p__Weldyn_Channel_Turn_18_(126997).json.gz,-1.0,29.26232255179113,3.287403497812061,43,0
2024-05-26_2p__Hamlets_Turn_15_(33476).json.gz,1.0,56.26044000000003,32.89428000000001,104,17
2024-10-27_2p_-_Micro_Isar_Turn_10_(11810).json.gz,1.0,15.767499999999995,16.331999999999997,26,5
2024-06-11_2p__Fallenstar_Lake_Turn_12_(44747).json.gz,-1.0,-8.586239999999984,-1.580700000000001,47,8
2024-11-03_2p__Hamlets_Turn_13_(2373).json.gz,-1.0,-36.35147500000001,-19.035939499999998,32,0
2026-03-07_2p__Caves_of_the_Basilisk_Turn_19_(105136).json.gz,1.0,-40.182447040000014,-71.55058784000002,97,15
2024-08-06_2p__Cynsaun_Battlefield_Turn_24_(4055).json.gz,-1.0,-79.44131200000002,-72.92254480000003,145,32
2025-05-29_2p__Caves_of_the_Basilisk_Turn_13_(114343).json.gz,-1.0,-110.14449371000018,7.566003058576388,50,12
2024-10-29_2p__Caves_of_the_Basilisk_Turn_13_(12978).json.gz,1.0,54.47246917822669,53.10942560372923,45,7
2026-07-05_2p__The_Freelands_Turn_6_(37863).json.gz,1.0,20.871980000000004,-1.4760400000000011,14,2
2024-06-25_2p_mini_edited_Turn_5_(54390).json.gz,1.0,2.6747200000000086,-19.35432,10,2
2025-08-05_2p__Hamlets_Turn_27_(167699).json.gz,1.0,66.90658861519074,71.94136500538218,74,9
2024-09-23_2p_-_Micro_Isar_Turn_5_(34976).json.gz,-1.0,-83.3532927067138,-79.15639268106544,12,2
2026-04-05_2p__Caves_of_the_Basilisk_Turn_15_(18860).json.gz,1.0,29.026453599999996,12.630641599999995,50,15
2024-09-19_2p__Ruined_Passage_Turn_13_(31869).json.gz,1.0,4.602947999999989,7.709591999999992,51,9
2025-04-13_2p_-_Micro_Isar_Turn_5_(79465).json.gz,1.0,19.094799999999992,29.178399999999996,16,0
2024-09-30_2p__Fallenstar_Lake_Turn_13_(40537).json.gz,1.0,17.164262400000005,11.050100800000003,40,2
2026-04-20_2p__Sullas_Ruins_Turn_21_(29967).json.gz,-1.0,-22.548990995266102,-4.235213273648795,110,14
2024-08-26_2p__Fallenstar_Lake_Turn_10_(14388).json.gz,-1.0,45.12443960000003,175.49775680000005,91,12
2025-11-29_2p_-_Micro_Isar_Turn_6_(17918).json.gz,1.0,-2.6152920000000037,-21.1342472,16,3
2025-04-02_2p__Howling_Ghost_Badlands_Turn_9_(70706).json.gz,1.0,-33.828607999999996,16.110647999999998,20,1
2024-05-31_2p__Hellhole_Turn_6_(36734).json.gz,-1.0,-31.015799999999995,-17.8328,19,0
2024-03-25_2p__Aethermaw_Turn_12_(35).json.gz,1.0,23.599418464184286,13.519389972809556,30,2
2026-04-07_2p__Silverhead_Crossing_Turn_27_(19877).json.gz,-1.0,-55.31729779999999,-42.63505469999998,91,4
2025-04-29_2p__Den_of_Onis_Turn_15_(91405).json.gz,1.0,-24.11303999999998,10.109640000000006,43,3
2024-05-30_2p__Den_of_Onis_Turn_20_(36471).json.gz,-1.0,2.224,-8.448000000000002,2,32
2024-07-22_2p_mini_edited_Turn_5_(15855).json.gz,-1.0,-12.467400000000007,-8.140800000000002,14,2
2026-02-24_2p__Sablestone_Delta_Turn_8_(95971).json.gz,-1.0,67.17600000000002,-11.396719999999995,42,5
2024-07-20_2p_-_Micro_Isar_Turn_5_(14173).json.gz,1.0,1.5323599999999944,-23.76352,15,3
2026-03-20_2p__Caves_of_the_Basilisk_Turn_13_(6873).json.gz,-1.0,-16.403920000000003,54.056560000000005,46,0
2026-03-12_2p__Cynsaun_Battlefield_Turn_34_(1883).json.gz,1.0,78.40261649731814,97.52765367522386,254,50
2024-12-23_2p__Fallenstar_Lake_Turn_20_(7291).json.gz,-1.0,-11.637163999999986,-54.919207999999976,106,19
2024-09-15_2p_-_Micro_Isar_Turn_15_(29131).json.gz,1.0,-83.4009848,-19.710288800000004,32,12
2025-04-29_2p__Weldyn_Channel_Turn_28_(91622).json.gz,-1.0,1.6515300000000126,-104.93367999999998,140,58
2024-07-29_2p__Howling_Ghost_Badlands_Turn_10_(20059).json.gz,1.0,74.32858000000003,42.70676,32,3
2024-08-11_2p_-_Micro_Isar_Turn_9_(3363).json.gz,1.0,2.632000000000009,-6.910999999999998,28,3
2024-07-02_2p_mini_edited_Turn_10_(2559).json.gz,-1.0,-17.265000000000008,-18.521839999999997,19,9
2024-04-15_2p__Fallenstar_Lake_Turn_11_(7334).json.gz,1.0,-25.712848581014807,-16.776681293269238,59,1
2025-08-26_2p__Hamlets_Turn_15_(184619).json.gz,1.0,39.45906200000002,-35.208814,54,9
